id;Families;prod;ag;arq
2;707F2I10;8113.79;2.32;NA
2;707F2I14;8117.27;2.23;NA
2;707F2I15;7428.95;2.13;NA
2;707F2I16;8851.94;2.25;NA
2;707F2I18;7910.25;1.93;NA
2;707F2I19;8720.53;2.03;NA
2;707F2I2;8036.06;2.01;NA
2;707F2I3;8283.14;2.39;NA
2;707F2I5;7216.88;2.06;NA
2;707F2I7;8224.35;1.82;NA
2;708F2I347;7963.36;2.2;NA
2;708F2I349;8593.88;1.97;NA
2;708F2I353;7049.4;2.15;NA
2;708F2I355;7145.22;2.07;NA
2;708F2I356;6876.05;1.98;NA
2;708F2I359;7039.07;2.13;NA
2;709F2I208;7780.62;1.92;NA
2;710F2I305;7730.17;2.17;NA
2;710F2I306;7038.93;2.5;NA
2;710F2I316;7502.28;2.11;NA
2;710F2I318;7283.28;1.83;NA
2;710F2I321;7524.6;2.47;NA
2;711F2I58;7431.96;2.05;NA
2;712F2I100;7297.45;2.05;NA
2;712F2I103;8255.47;1.79;NA
2;712F2I105;7396;1.94;NA
2;712F2I106;8439.6;2.28;NA
2;712F2I109;7063.07;1.9;NA
2;712F2I110;6964.59;2.2;NA
2;712F2I113;7265.32;2.27;NA
2;713F2I213;6384.42;2.28;NA
2;713F2I222;7399.28;2.5;NA
2;713F2I225;7543.68;2.03;NA
2;714F2I378;7574.62;2.15;NA
2;714F2I379;7443.08;2.27;NA
2;715F2I153;7222.55;2.04;NA
2;715F2I154;7401.76;2.26;NA
2;715F2I155;7575.7;2.42;NA
2;715F2I156;7934.99;2.2;NA
2;715F2I158;7644.57;2.04;NA
2;715F2I160;7531.83;2.07;NA
2;715F2I167;8215.57;2.16;NA
2;715F2I170;8997.38;2.25;NA
2;Madrepérola_386;5373.62;1.93;NA
2;Pérola_391;6404.72;2.23;NA
2;Uai_400;7399.74;2.08;NA
2;VC25_382;6877.02;2.15;NA
3;696F2I324;2676.31;1.83;3.5
3;696F2I325;2748.63;2.05;3.56
3;696F2I327;2711.36;1.94;3.37
3;696F2I330;2816.63;2.36;3.4
3;696F2I332;2941.93;2.06;3.68
3;696F2I333;2935.68;2.25;3.44
3;696F2I334;2831.25;2.69;2.99
3;696F2I335;2946.54;2.38;3.63
3;696F2I337;2760.14;2.01;3.36
3;696F2I340;2868.7;2.59;3.23
3;697F2I43;2379.98;2.33;3.71
3;697F2I44;2906.77;2.12;3.71
3;697F2I46;2736.44;1.82;3.55
3;697F2I48;2986.54;2.18;3.7
3;697F2I50;3301.05;1.92;3.54
3;697F2I51;2851.57;2.04;3.66
3;697F2I52;2884.4;1.85;3.75
3;697F2I56;3037.16;2.29;3.65
3;698F2I229;2687.69;1.83;3.61
3;698F2I230;3294.61;1.99;3.44
3;698F2I232;2571.07;1.83;3.54
3;699F2I134;3096.92;2.12;3.33
3;699F2I138;2919.47;1.96;3.31
3;699F2I143;2738.14;2.07;3.21
3;700F2I290;2965.25;1.94;3.47
3;700F2I292;2822.53;2.46;3.37
3;700F2I295;2873.32;2.17;3.4
3;700F2I296;2981.74;2.12;3.75
3;700F2I302;2551.66;2.29;3.55
3;700F2I304;2787.29;2.29;3.41
3;701F2I79;3137.61;2.3;3.36
3;701F2I83;2874.34;2.32;3.68
3;701F2I85;2998.14;2.02;3.66
3;701F2I86;2869.46;2.21;3.59
3;701F2I87;2743.11;2.03;3.28
3;701F2I95;2872.44;2.24;3.28
3;702F2I116;3230.68;2.03;3.55
3;702F2I119;2881.95;2.07;3.47
3;702F2I120;3058.77;1.95;3.57
3;702F2I121;2750.49;1.82;3.5
3;702F2I123;3006.65;2.03;3.41
3;702F2I124;2899.45;2.3;3.71
3;702F2I131;2642.34;1.96;3.03
3;702F2I132;2739.13;2.04;3.4
3;703F2I20;2846.98;2.02;3.42
3;703F2I22;2118.02;1.83;3.53
3;703F2I23;3024.57;2.04;3.66
3;703F2I26;2497.63;2.3;3.35
3;703F2I27;2792.86;2.07;3.7
3;703F2I28;2681.63;1.92;3.57
3;703F2I29;2558.71;2.28;3.25
3;703F2I30;3055.69;2.14;3.47
3;703F2I31;2817.19;1.92;3.4
3;703F2I32;2468.21;1.79;3.5
3;703F2I33;2216.26;1.97;3.33
3;703F2I34;2956.41;2.14;3.48
3;703F2I35;2405.37;2.16;3.52
3;703F2I36;2993.6;2.3;3.18
3;703F2I38;3159.22;1.9;3.6
3;704F2I271;2788.77;1.91;3.26
3;705F2I184;2585.24;2.03;3.43
3;706F2I249;3287.7;2.37;3.44
3;706F2I251;2808.09;2.36;3.41
3;706F2I252;2955.01;2.13;3.4
3;706F2I253;3077.26;2.12;3.43
3;706F2I256;3093.74;2.49;3.48
3;706F2I257;3299.21;2.38;3.2
3;706F2I258;3077.21;1.97;3.57
3;706F2I259;2882.43;2.37;3.45
3;706F2I261;3003.4;1.96;3.23
3;706F2I263;3123.26;2.36;3.4
3;706F2I264;3119.08;2.5;3.35
3;706F2I266;2901.65;2.02;3.19
3;707F2I1;2845.47;2.12;3.16
3;707F2I10;2457.93;2.32;3.33
3;707F2I14;2834.83;2.23;3.61
3;707F2I15;2973.8;2.13;3.32
3;707F2I16;2870.86;2.25;3.38
3;707F2I18;2833.96;1.93;3.6
3;707F2I19;2487.83;2.03;3.37
3;707F2I2;2856.03;2.01;3.69
3;707F2I3;2895.34;2.39;3.33
3;707F2I5;2381.27;2.06;3.38
3;707F2I7;2669.11;1.82;3.39
3;708F2I347;2636.92;2.2;3.51
3;708F2I349;2993.81;1.97;3.69
3;708F2I353;3001.08;2.15;3.8
3;708F2I355;2779.38;2.07;3.42
3;708F2I356;2411.77;1.98;3.35
3;708F2I359;2511.71;2.13;3.26
3;709F2I208;2633.49;1.92;3.68
3;710F2I305;2904.23;2.17;3.51
3;710F2I306;2903.48;2.5;3.51
3;710F2I316;2956.92;2.11;3.4
3;710F2I318;2690.28;1.83;3.7
3;710F2I321;3068.84;2.47;3.17
3;711F2I58;2730.55;2.05;3.25
3;712F2I100;3024.01;2.05;3.3
3;712F2I103;2975.57;1.79;3.43
3;712F2I105;2663.79;1.94;3.18
3;712F2I106;3078.52;2.28;3.12
3;712F2I109;2791.78;1.9;3.27
3;712F2I110;2888.88;2.2;3.28
3;712F2I113;2690.24;2.27;3.19
3;713F2I213;2709.72;2.28;3.48
3;713F2I222;2909.4;2.5;3.35
3;713F2I225;2735.75;2.03;3.44
3;714F2I378;3144.8;2.15;3.33
3;714F2I379;2951.4;2.27;3.83
3;715F2I153;2599.99;2.04;3.72
3;715F2I154;3152.74;2.26;3.74
3;715F2I155;2889.94;2.42;3.63
3;715F2I156;2930.23;2.2;3.37
3;715F2I158;2879.01;2.04;3.51
3;715F2I160;3119.4;2.07;3.52
3;715F2I167;2676.1;2.16;3.71
3;715F2I170;2750.06;2.25;3.61
3;Madrepérola_386;2353.06;1.93;3.81
3;Pérola_391;2680.81;2.23;3.55
3;Uai_400;2944.67;2.08;2.94
3;VC25_382;3048.15;2.15;3.21
4;696F2I324;6244.04;2.2;2.67
4;696F2I325;6331.16;2.52;2.56
4;696F2I327;6571.49;2.25;2.57
4;696F2I330;6970.53;3.23;2.68
4;696F2I332;6750.38;1.75;2.77
4;696F2I333;7212.89;3.36;2.78
4;696F2I334;6584.5;3.29;2.29
